listing_id,host_id,host_since,name,neighbourhood,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
22678339,35680770,2015-06-13,"Spacious  Sagrada Familia 4BR, 2BA",la Sagrada Família,Apartment,Entire home/apt,4.0,100,0,
22678858,35680770,2015-06-13,"NEW City Center , 5 mins to Plaza Catalunya",Sant Antoni,Apartment,Entire home/apt,3.0,54,0,
22681178,161986652,2017-12-09,Habitación en Gracia ( Barcelona) España,la Vila de Gràcia,House,Private room,1.0,8,3,
22683757,161564321,2017-12-06,Habitación Junior Suite con vistas maravillosas sobre la Montaña,Sant Genís dels Agudells,Boutique hotel,Private room,1.0,150,0,
22683758,161564321,2017-12-06,Habitacion Deluxe con vistas maravillosas sobre Barcelona y el mar,Sant Genís dels Agudells,Boutique hotel,Private room,1.0,150,0,
22683763,161564321,2017-12-06,Habitacion con Terraza con vistas maravillosas sobre la Montaña,Sant Genís dels Agudells,Boutique hotel,Private room,1.0,150,0,
22683764,161564321,2017-12-06,Habitacion con Terraza vista maravillosas sobre Barcelona y el mar,"Vallvidrera, el Tibidabo i les Planes",Boutique hotel,Private room,1.0,150,0,
22684520,166936156,2018-01-10,Tom mar,el Besòs i el Maresme,Apartment,Shared room,1.0,25,2,100.0
22688806,163306741,2017-12-19,Amplia habitacion privada en corazon de la ciudad,el Raval,Apartment,Private room,1.0,40,67,84.0
22690187,163306741,2017-12-19,Quiet interior room at super centric apartment,el Raval,Apartment,Private room,1.0,38,62,83.0
22694764,3376710,2012-08-26,Luminous Borne Millenium,"Sant Pere, Santa Caterina i la Ribera",Apartment,Entire home/apt,1.0,37,0,
22695750,75155895,2016-06-01,"AMPLIO CUARTO , BALCON Y MUCHA PAZ",el Camp de l'Arpa del Clot,Apartment,Private room,1.0,24,10,84.0
22698444,167363228,2018-01-12,海边公寓,Provençals del Poblenou,Guest suite,Private room,2.0,65,0,
22699276,167318677,2018-01-12,BIG AND SUNNY DOUBLE ROOM IN BARCELONA,l'Antiga Esquerra de l'Eixample,House,Private room,1.0,22,0,
22703838,53722524,2016-01-07,"Cerca de Plaza España, luminoso y con 2 gatitos",la Nova Esquerra de l'Eixample,Apartment,Private room,1.0,50,30,100.0
22704430,48515683,2015-11-08,Céntrica y tranquila,la Dreta de l'Eixample,Apartment,Private room,1.0,60,0,
22710675,54883260,2016-01-16,Big room Perfect Location city centre EIXAMPLE,la Dreta de l'Eixample,Apartment,Private room,1.0,24,30,91.0
22715944,140571125,2017-07-15,A Bed in a 6-Bed Mixed Dormitory,Sants,Hostel,Shared room,1.0,20,37,94.0
22716243,59906724,2016-02-22,ESPECTACULAR APARTAMENTO EN BARCELONA,l'Antiga Esquerra de l'Eixample,Apartment,Entire home/apt,3.0,160,1,100.0
22717870,4019775,2012-10-31,Double room in a modern apartment in Barcelona,la Nova Esquerra de l'Eixample,Apartment,Private room,1.0,50,0,
22729222,9477063,2013-10-17,Bonito apartamento en el poble sec,el Poble Sec,Apartment,Entire home/apt,2.0,42,9,93.0
22732409,167804364,2018-01-14,triple room in the center with balcony.,"Sant Pere, Santa Caterina i la Ribera",Apartment,Private room,1.0,41,24,80.0
22737544,105340238,2016-11-27,"Bright room , double bed , little private balcony",la Dreta de l'Eixample,Apartment,Private room,1.0,40,36,95.0
22737815,35680770,2015-06-13,Beautiful Sagrada Familia apartment. HUTB-012028,la Sagrada Família,Apartment,Entire home/apt,3.0,173,34,96.0
